System_name,DefenceFinder,PADLOC
Cas,Cas,cas
RM,RM,RM
CBASS,CBASS,cbass
AbiE,AbiEii,AbiE
SoFIC,SoFIC,
DISARM,DISARM,disarm
Kiwa,Kiwa,kiwa
AVAST,AVAST,AVAST
ShosTA,ShosTA,
Borvo,Borvo,
Gabija,Gabija,gabija
Stk2,Stk2,Stk2
Mokosh,Mokosh,
Shedu,Shedu,shedu
Bunzi,Bunzi,
Wadjet,Wadjet,wadjet
Abi2,Abi2,AbiD
Nhi,Nhi,Nhi/AbiO
Druantia,Druantia,druantia
Zorya,Zorya,zorya
Lamassu,Lamassu-Fam,lamassu
AbiH,AbiH,AbiH
SEFIR,SEFIR,
Hachiman,Hachiman,hachiman
Retron,Retron,retron
BREX,BREX,brex
Tmn,Gao_Tmn,tmn
Viperin,Viperin,viperin
DRT,DRT,DRT
Mza,Gao_Mza,mza
Thoeris,Thoeris,thoeris
ISG15-like,ISG15-like,
dXTPase,dGTPase/dCTPdeaminase,dXTPase
PrrC,PrrC,PrrC
PARIS,Rst_PARIS,Paris
BstA,BstA,BstA
Shango,Shango,
RosmerTA,RosmerTA,
Septu,Septu,septu
Qat,Gao_Qat,qatABCD
Ppl,Gao_Ppl,ppl
Ape,Gao_Ape,ApeA
Olokun,Olokun,
PsyrTA,PsyrTA,
Tiamat,Tiamat,
Dodola,Dodola,
GasderMIN,GasderMIN,gasdermin
Lit,Lit,Lit
Iet,Gao_Iet,ietAS
Dsr,Dsr,dsr1/dsr2
PT,Dnd/SspBCDE,PT
Menshen,Menshen,
Azaca,Azaca,
Hhe,Gao_Hhe,hhe
Uzume,Uzume,
DarTG,DarTG,darTG
Dynamins,Dynamins,
TerY,Gao_TerY,TerY-P
DUF4238,Rst_DUF4238,DUF4238
Helicase-DUF2290,Rst_HelicaseDUF2290,Helicase-DUF2290
TIR-NLR,Rst_TIR-NLR,TIR-NLR
Aditi,Aditi,
RADAR,RADAR,RADAR
Dazbog,Dazbog,
Upx,Gao_Upx,upx
DprA-PRTase,Rst_DprA-PPRT,DprA-PRTase
Hydrolase-TM,Rst_Hydrolase-3Tm,Hydrolase-TM
Pif,Pif,PifA
3HP,Rst_3HP,3HP
Argonaute,pAgo,argonaute
Pycsar,Pycsar,pycsar
hma,,hma
Dpd,,Dpd
RexAB,,RexAB
spbK,,spbK
AbiJ,,AbiJ
AbiZ,,AbiZ
AbiG,,AbiG
AbiQ,,AbiQ
AbiL,,AbiL
AbiV,,AbiV
Old,,Old
AbiU,,AbiU
GAO,Gao_Her/Gao_RL,GAO
